username,tweet,value
korantempo,Pemerintah dianggap tergesa-gesa memulai pembelajaran tatap muka secara penuh pada awal 2022. Ada potensi lonjakan penularan Covid-19 di sekolah akibat Omicron.  https://t.co/TVQERUw8YW #KoranTempo,negatif
haibundacom,Pemerintah telah mengeluarkan ketentuan sekolah tatap muka yang akan dilaksanakan pada Januari 2022 mendatang Bunda. Lihat ketentuan selengkapnya yuk!  https://t.co/J3mwi7rVJ9,positif
jawapos,Menko Airlangga: Vaksinasi Anak Bagus untuk Memulai Sekolah Tatap Muka  https://t.co/9pan9qs8EX,positif
covesiacom,Menko Airlangga: Vaksinasi Anak Bagus untuk Memulai Sekolah Tatap Muka  https://t.co/BoSMWcRx0X,positif
soen_cak,Sekolah daring 2 tahun kayaknya sudah bosan. Kini waktunya mulai sekolah tatap muka.   Anak2 harus divaksin. Usia 6--11 tahun sudah bisa vaksin lho. Ayo daftarkan buah hatinya untuk vaksin agar bisa sekolah luring ga daring lagi.  https://t.co/eOFqL4M69I,positif
datariau,DPRD Pekanbaru Dukung SKB 4 Menteri Wajibkan Sekolah Tatap Muka Terbatas Mulai Januari 2022  https://t.co/4jsCe0jUK6,positif
hwaitinggurll,Sekolah tatap muka akan dibuka saat vaksinasi anak rampung kuartal I  https://t.co/lqEmQ16hOy,positif
nic04722,@Humairah_31 Ini menunggu sekolah anak awal tahun jika diharuskan vaksin (Krn kmrn gak ikut) lalu konsekuensinya gak boleh ikut tatap muka bersiap² utk homeschooling atau pindah ke pesantren.,positif
jawapos,Menko Airlangga Hartarto Berharap Sekolah Tatap Muka Bisa Dimulai  https://t.co/Bf9nBVvT8F,positif
intanayuarimbi,Wajib pembelajaran tatap muka terbatas di sekolah paling lambat dilaksanakan semester genap tahun ajaran 2021/2022.  https://t.co/cvDHOyVnOY,positif
tribunnews,SKB 4 Menteri: PTM Terbatas Wajib Mulai Januari 2022 Ini Ketentuan dan Syarat Sekolah Tatap Muka    https://t.co/FOuSIgSz74,positif
indoseputarinfo,Nah langkah ini dilakukan sebagai perlindungan kepada anak-anak yang rentan tertular virus karena kegiatan belajar mengajar secara tatap muka di sekolah saat ini sudah mulai dilakukan.  Yuk bagi yang punya anak dan adik dikisaran usia 6-11 tahun jangan lupa di vaksin ya!,positif
terkinidotid,Sekolah Online Bikin Skill Bersosialisasi Anak Hilang Menko Airlangga: Ayo Vaksinasi untuk Sekolah Tatap Muka #terkiniid #terkinidotid #makassarterkiniid #makassarterkinidotid  https://t.co/sVR7MVFhUU,positif
_nisanis_,@iic_a eh di infonesia per januari malah wajib sekolah tatap muka termasuk anak paud yg blm divaksin dgn kapasitas full 100% setiap hari selama 6 jam🤦🏻‍♀️,positif
wow_keren,Airlangga Sebut Vaksinasi Anak Usia 6-11 Tahun Langkah Bagus Jelang Pelaksanaan Sekolah Tatap Muka #Nasional  https://t.co/H5Z09kd210  https://t.co/cvl54kfSOZ,positif
kompascom,Harapannya vaksinasi anak itu bisa segera rampung sehingga semua siswa bisa sekolah tatap muka pada pembelajaran semester mendatang.  https://t.co/MEvcqdjjcW,positif
haibundacom,Pemerintah telah mengeluarkan ketentuan sekolah tatap muka yang akan dilaksanakan pada Januari 2022 mendatang Bunda. Lihat ketentuan selengkapnya yuk!  https://t.co/pkOChATB1i,positif
sixteenisenough,@txtsambaters takut sekolah tatap muka :(,negatif
detikcom,SKB 4 menteri terbaru mewajibkan pelaksanaan sekolah tatap muka terbatas per 2022 sesuai capaian vaksinasi dan level PPKM. Via: detikedu  https://t.co/wTbRVyRkAw,positif
korantempo,Pemerintah dianggap tergesa-gesa memulai pembelajaran tatap muka secara penuh pada awal 2022. Ada potensi lonjakan penularan Covid-19 di sekolah akibat Omicron.  https://t.co/TVQERUw8YW #KoranTempo,negatif
haibundacom,Pemerintah telah mengeluarkan ketentuan sekolah tatap muka yang akan dilaksanakan pada Januari 2022 mendatang Bunda. Lihat ketentuan selengkapnya yuk!  https://t.co/J3mwi7rVJ9,positif
jawapos,Menko Airlangga: Vaksinasi Anak Bagus untuk Memulai Sekolah Tatap Muka  https://t.co/9pan9qs8EX,positif
covesiacom,Menko Airlangga: Vaksinasi Anak Bagus untuk Memulai Sekolah Tatap Muka  https://t.co/BoSMWcRx0X,positif
soen_cak,Sekolah daring 2 tahun kayaknya sudah bosan. Kini waktunya mulai sekolah tatap muka.   Anak2 harus divaksin. Usia 6--11 tahun sudah bisa vaksin lho. Ayo daftarkan buah hatinya untuk vaksin agar bisa sekolah luring ga daring lagi.  https://t.co/eOFqL4M69I,positif
datariau,DPRD Pekanbaru Dukung SKB 4 Menteri Wajibkan Sekolah Tatap Muka Terbatas Mulai Januari 2022  https://t.co/4jsCe0jUK6,positif
hwaitinggurll,Sekolah tatap muka akan dibuka saat vaksinasi anak rampung kuartal I  https://t.co/lqEmQ16hOy,positif
widyarenee_,Vaksinasi Covid19 kini sudah ditetapkan juga dibutuhkan oleh anak usia sekolah dasar bukan hanya orang dewasa. Karena anak2 pun rentan terpapar virus terutama oleh kegiatan Pembelajaran Tatap Muka. Jngn lupa tuk beri pengertian pd anak pentingnya Prokes walalu sdh vaksinasi.  https://t.co/yjui9LvqQn,positif
adinjung15,ya Allah jadi kangen sekolah tatap muka)':,positif
jawapos,Menko Airlangga Hartarto Berharap Sekolah Tatap Muka Bisa Dimulai  https://t.co/Bf9nBVvT8F,positif
bandivokt,Sekolah tatap muka kpn mulai nih gov?,positif
